Nazwa skryptu;Plik zrodlowy;MC;Tekst
DIA_Straznik_01_01;Straznik.json;Nie;Stój! Kto tam idzie?
DIA_Straznik_01_02;Straznik.json;Nie;"Do broni, mamy intruza w ""skarbcu""!"
DIA_Kupiec_02_01;Kupiec.json;Nie;Witaj, podróżniku, masz szczęście, właśnie dostałem nowy towar.
DIA_Kupiec_02_02;Kupiec.json;Nie;Ta klinga, ta zbroja, ten eliksir - wszystko na sprzedaż.
DIA_Bohater_03_01;Bohater.json;Tak;Coś tu nie gra, muszę być ostrożny.
DIA_Krolowa_04_01;Krolowa.json;Nie;Sprowadźcie mi głowę zdrajcy, natychmiast!
DIA_Narrator_05_01;Narrator.json;Nie;Dawno, dawno temu, w krainie pełnej magii i niebezpieczeństw...
DIA_Straznik_01_01;Straznik.json;Nie;To jest CELOWY duplikat nazwy skryptu DIA_Straznik_01_01 - test ostrzezenia o duplikatach.
DIA_Napis_06_01;Napis.json;Nie;"Zamknięte; wróć jutro."
DIA_Straznik_01_03;Straznik.json;Nie;Ruszaj dalej, nic tu po Tobie.
